doc_id,documento,tema_id,tema,palabras_clave
0,Ven con tu familia y amigas y amigos a disfrutar de nuestras pistas de hielo Invitamos a todas y todos los naucalpenses a vivir esta experiencia llena de diversión y convivencia. Palacio Municipal De lunes a domingo 11:00 a 21:00 hrs. Parque La Hormiga De lunes a domingo 12:00 a 21:00 hrs. ¡No te lo puedes perder! #AquiGobiernaLaEsperanza #Naucalpan #PistaDeHielo,-1,No clasificado,
1,"En la Secundaria General Emiliano Zapata, en coordinación con el Gobierno del Estado de México, encabezado por nuestra Gobernadora Delfina Gómez Álvarez, fortalecimos la seguridad de la comunidad escolar con obras de protección del cauce, reforzamiento de la cimentación y la construcción de muros de gavión. Hoy, el entorno es más seguro y digno para nuestras niñas, niños y jóvenes. #AquiGobiernaLaEsperanza #Naucalpan #Edomex #Educacion",1,Seguridad,"proteccion, seguridad"
2,Mañanera del Pueblo. #AquiGobiernaLaEsperanza #Naucalpan #CuartaTransformacion,-1,No clasificado,
3,"Rehabilitación estructural de la Escuela Secundaria General Emiliano Zapata Desde años atrás sufrió afectaciones graves por las lluvias, al grado de tener un pronóstico de demolición. Gracias al trabajo coordinado con el Gobierno del Estado de México, encabezado por nuestra Gobernadora, Delfina Gómez Álvarez, esta escuela fue rescatada mediante una intervención estructural profunda, realizada desde la base, con ingeniería y materiales de calidad, lo que hoy garantiza seguridad para las y los estudiantes y permite que la comunidad escolar continúe su labor educativa en condiciones dignas. #AquiGobiernaLaEsperanza #IsaacMontoya #Naucalpan #EdoMex #Educacion",1,Seguridad,seguridad
4,"Esta tarde también estuvimos en San Lorenzo Totolinga 1ª Sección, celebrando el Día de Reyes a través del DIF Naucalpan. Ver a la comunidad reunida, compartiendo juegos, risas y tradición, confirma que cuando el gobierno está presente en las colonias, la esperanza se siente.",-1,No clasificado,
5,"Me encuentro junto a nuestra Gobernadora del Estado de México, Delfina Gómez Álvarez; el Secretario General de Gobierno, Horacio Duarte Olivares; el Secretario de Seguridad estatal, Cristóbal Castañeda Camarillo y el General Félix González Lara, durante la Mesa de Paz. En esta mesa de seguridad reafirmamos el compromiso que tenemos con la gente de Naucalpan y de todo el Estado de México para seguir construyendo estrategias de seguridad sólidas, coordinadas y con enfoque social, donde trabajamos de manera conjunta autoridades municipales, estatales y federales para garantizar la seguridad de las familias mexiquenses. #AquiGobiernaLaEsperanza #Naucalpan #MesaDePaz",1,Seguridad,seguridad
6,"La diversión sobre hielo continúa en Naucalpan La Pista de Hielo del Parque La Hormiga es un espacio pensado para la convivencia familiar, donde niñas, niños, jóvenes y personas adultas pueden disfrutar de momentos de alegría y recreación en un entorno seguro y accesible.",-1,No clasificado,
7,"¡Les deseo un Año Nuevo lleno de luz, esperanza y transformación! #AquiGobiernaLaEsperanza #Naucalpan #AñoNuevo #2026",0,Servicios,luz
8,"¿Sabías qué? Brasil es la selección más ganadora en la historia de los Mundiales, con 5 Copas del Mundo (1958, 1962, 1970, 1994 y 2002). Faltan 148 días para que inicie el Mundial 2026. #AquiGobiernaLaEsperanza #HuellasDelMundial #Naucalpan",-1,No clasificado,
9,Ven con tu familia y amigas y amigos a disfrutar de nuestras pistas de hielo ¡No te lo puedes perder! #AquiGobiernaLaEsperanza #Naucalpan #PistaDeHielo,-1,No clasificado,
10,"Guía Ciudadana para el Pago del Impuesto Predial 2026 Tu predial se transforma en obras, servicios y mejores espacios para nuestra comunidad. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal",3,Obras y proyectos,obras
11,"Gran Feria del Empleo Naucalpan 2026 Impulsando el empleo y las oportunidades para todas y todos. Informes: 55 8789 5500 Exts. 1151, 1174 y 1144. #AquiGobiernaLaEsperanza #Naucalpan #GranFeriaDelEmpleo",-1,No clasificado,
12,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago del Predial y Agua 2026. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal,0,Servicios,agua
13,"La Escuela Secundaria Gral. Emiliano Zapata fue rescatada tras años de daños por lluvias y un pronóstico de demolición. Gracias al trabajo conjunto entre Ciudad #Naucalpan y el Gobierno del #EdoMéx, hoy cuenta con una rehabilitación. #AquiGobiernaLaEsperanza",3,Obras y proyectos,rehabilitacion
14,"El Gobierno de Ciudad Naucalpan, a través de la Dirección de Medio Ambiente, invita a la comunidad a participar en la Mega Limpieza del Parque Sección “La Hoja”. #AquiGobiernaLaEsperanza #Naucalpan #MedioAmbiente #BosqueDeLosRemedios",0,Servicios,limpieza
15,"Recorrido de verificación ambiental en Las Julianas El Gobierno de Ciudad Naucalpan, a través de la Dirección de Medio Ambiente, realizará un recorrido de verificación ambiental en la zona de Las Julianas. #AquiGobiernaLaEsperanza #Naucalpan",-1,No clasificado,
16,"En la Secundaria General Emiliano Zapata, en coordinación con el Gobierno del Estado de México, fortalecimos la seguridad de la comunidad escolar con obras de protección del cauce, reforzamiento de la cimentación y la construcción de muros de gavión. #AquiGobiernaLaEsperanza",1,Seguridad,"proteccion, seguridad"
17,"Desde el IMNIS, el Gobierno de Ciudad Naucalpan impulsa una vida libre de violencias, con dignidad y derechos para todas. 55 8789 5482 | 55 8789 5483 #AquiGobiernaLaEsperanza #Naucalpan #IMNIS #MujeresEnRevolución",-1,No clasificado,
18,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago del Predial y Agua 2026. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal,0,Servicios,agua
19,"El Gobierno de Ciudad #Naucalpan, encabezado por el Alcalde Isaac Montoya, entregó la rehabilitación estructural de la Secundaria Emiliano Zapata en Minas San Martín, en coordinación con el Gobierno del Edoméx; hoy es un espacio seguro y digno. #AquiGobiernaLaEsperanza",3,Obras y proyectos,rehabilitacion
20,"El Gobierno de Ciudad Naucalpan, a través de la #GuardiaMunicipal puso en marcha el Operativo “Caminito de la Escuela”, con presencia en cerca de 300 escuelas de Naucalpan, para brindar seguridad. #AquiGobiernaLaEsperanza #Naucalpan",1,Seguridad,seguridad
21,"Gran Feria del Empleo Naucalpan 2026 Impulsando el empleo y las oportunidades para todas y todos. Informes: 55 8789 5500 Exts. 1151, 1174 y 1144. #AquiGobiernaLaEsperanza #Naucalpan #GranFeriaDelEmpleo",-1,No clasificado,
22,"Guía Ciudadana para el Pago del Impuesto Predial 2026 Tu predial se transforma en obras, servicios y mejores espacios para nuestra comunidad. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal",3,Obras y proyectos,obras
23,"En Ciudad Naucalpan, las celebraciones del Día de Reyes siguen vivas, y seguiremos trabajando para que la esperanza llegue a cada comunidad. Hoy, en la colonia Plan de Ayala 1, celebramos el derecho de nuestras niñas y niños a ser felices. #AquiGobiernaLaEsperanza",-1,No clasificado,
24,"El Gobierno Municipal de Ciudad Naucalpan, encabezado por el Alcalde Isaac Montoya, continúa celebrando Día de Reyes, a través del DIF Naucalpan, reuniendo a cientos de niñas, niños y familias de la comunidad. #AquiGobiernaLaEsperanza #Naucalpan #DiaDeReyes #DIFNaucalpan",-1,No clasificado,
25,"En la Plaza Central del Parque Naucalli, el Gobierno de Ciudad Naucalpan, encabezado por el Alcalde Isaac Montoya, celebró el Día de Reyes con hijas e hijos de la Guardia Municipal, en una jornada de juegos, juguetes, convivencia y comunidad. #AquiGobiernaLaEsperanza #Naucalpan",1,Seguridad,guardia
26,Desde el Gobierno de Ciudad Naucalpan te invitamos a aprovechar los descuentos vigentes en el pago del Predial y Agua 2026. #AquiGobiernaLaEsperanza #Naucalpan #Predial2026 #TesoreriaMunicipal,0,Servicios,agua
27,Ven a divertirte en la Pista de Hielo del Palacio Municipal ¡No te lo puedes perder! #AquiGobiernaLaEsperanza #Naucalpan #PistaDehielo,-1,No clasificado,
28,"La pista de hielo en el Parque La Hormiga te espera El Gobierno de #Naucalpan invita a todas las familias a disfrutar de la pista de hielo en el Parque La Hormiga, un espacio para convivir, compartir y vivir la temporada decembrina en comunidad. #AquiGobiernaLaEsperanza",-1,No clasificado,
29,"El Gobierno de Ciudad Naucalpan, encabezado por el Alcalde Isaac Montoya, celebró el Día de Reyes en la cancha de fútbol de Santiago Tepatlaxco, a través del DIF Municipal. #AquiGobiernaLaEsperanza #Naucalpan",-1,No clasificado,
30,"El Frontón de Izcalli Chamapa se llenó de alegría durante el festejo del Día de Reyes, organizado por el Gobierno de Ciudad Naucalpan, encabezado por el Alcalde Isaac Montoya, a través del DIF Naucalpan. #AquiGobiernaLaEsperanza #Naucalpan #DIFNaucalpan #DiaDeReyes",-1,No clasificado,
31,"En un ambiente de alegría, color y tradición, el Gobierno de Ciudad Naucalpan, a través del DIF Naucalpan, llevó a cabo el festejo del Día de Reyes en el Parque Revolución. #AquiGobiernaLaEsperanza #Naucalpan",-1,No clasificado,
